Specific Capacity,CE,Separator Class,Cathode  loading as LiI wt%,smiles1,smiles2,smiles3,smiles4,smiles5,smiles6,smiles7,smiles8,mol%1,mol%2,mol%3,mol%4,mol%5,mol%6,mol%7,mol%8
105.27,92.49,2,52.29,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,0.98524265,2.00482123,4.97231585,5.98215029,4.96665442,54.6815922,20.3142105,6.09301287
13.42,87.89,1,51.68,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,0.98524265,2.00482123,4.97231585,5.98215029,4.96665442,54.6815922,20.3142105,6.09301287
102.7,96.12,2,48.08,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.022533634,12.23774908,3.108700775,10.09044475,4.146877117,29.96650627,19.46671083,19.96047755
105.79,96.45,2,45.26,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.022533634,12.23774908,3.108700775,10.09044475,4.146877117,29.96650627,19.46671083,19.96047755
103.56,97.01,2,46.33,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.035133733,7.095764697,3.158367212,12.07783584,4.373748019,25.41713965,25.0709285,21.77108235
111.31,96.9,2,45.82,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.035133733,7.095764697,3.158367212,12.07783584,4.373748019,25.41713965,25.0709285,21.77108235
15.23,89.22,1,47.37,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.98313624,8.818839205,5.866442692,12.63618928,4.987859423,14.75483941,6.893195118,44.05949863
17.67,87.87,1,47.33,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.98313624,8.818839205,5.866442692,12.63618928,4.987859423,14.75483941,6.893195118,44.05949863
19.37,88.73,1,40.71,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.98313624,8.818839205,5.866442692,12.63618928,4.987859423,14.75483941,6.893195118,44.05949863
20.7,88.91,1,39.62,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.98313624,8.818839205,5.866442692,12.63618928,4.987859423,14.75483941,6.893195118,44.05949863
68.14,94.94,1,49.33,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.984686789,2.971736773,0.990867995,9.912471937,20.06833265,14.42851001,19.9164368,29.72695705
59.27,94.9,1,48.53,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.984686789,2.971736773,0.990867995,9.912471937,20.06833265,14.42851001,19.9164368,29.72695705
89.94,93.13,1,49.65,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.99212792,2.96846858,0.99970975,7.94932697,19.9960515,10.1917861,20.1152073,35.7873219
81.07,93.87,1,46.38,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.992127921,2.968468584,0.999709747,7.949326971,19.99605146,10.19178614,20.11520727,35.78732192
144.14,93.88,1,40.87,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.992127921,2.968468584,0.999709747,7.949326971,19.99605146,10.19178614,20.11520727,35.78732192
134.75,94.6,1,37.27,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,1.992127921,2.968468584,0.999709747,7.949326971,19.99605146,10.19178614,20.11520727,35.78732192
108.4,95.88,2,48.44,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.040885569,9.139999217,6.075305137,11.15086435,4.079824342,15.33347476,7.666243277,44.51340335
119.72,96.49,2,43.26,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.040885569,9.139999217,6.075305137,11.15086435,4.079824342,15.33347476,7.666243277,44.51340335
124.05,96.92,2,42.9,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.040885569,9.139999217,6.075305137,11.15086435,4.079824342,15.33347476,7.666243277,44.51340335
84.2,94.28,2,56.48,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.04088557,9.13999922,6.07530514,11.1508644,4.07982434,15.3334748,7.66624328,44.5134034
90.44,95.21,2,55.08,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.04088557,9.13999922,6.07530514,11.1508644,4.07982434,15.3334748,7.66624328,44.5134034
100.38,95.53,2,51.23,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.04088557,9.13999922,6.07530514,11.1508644,4.07982434,15.3334748,7.66624328,44.5134034
85.55,95.7,2,56.26,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.17444452,4.20723916,10.428066,12.6048359,8.74156438,11.6106882,37.8350379,12.398124
86.4,95.83,2,53.94,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.17444452,4.20723916,10.428066,12.6048359,8.74156438,11.6106882,37.8350379,12.398124
23.19,89.94,1,44.35,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.995168763,11.0059185,5.999821221,6.999785035,5.006794793,20.02990324,4.983758266,42.97885018
35.09,93,1,42.15,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,2.995168763,11.0059185,5.999821221,6.999785035,5.006794793,20.02990324,4.983758266,42.97885018
109.87,96.45,2,41.86,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,3.16746161,11.32754564,6.223253299,4.200950155,4.753065383,20.64879765,5.877262263,43.801664
108.14,96.75,2,40.68,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,3.16746161,11.32754564,6.223253299,4.200950155,4.753065383,20.64879765,5.877262263,43.801664
79.71,94.4,2,50.82,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,3.48416433,2.51568084,5.69640366,9.06551752,4.95759592,22.7370769,6.12065611,45.4229047
84.31,94.47,2,49.86,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,3.48416433,2.51568084,5.69640366,9.06551752,4.95759592,22.7370769,6.12065611,45.4229047
99.71,85.02,1,49.31,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,4.020236432,0.997404941,2.005677533,4.988653287,20.12590338,10.03160962,19.94050995,37.89000485
71.45,90.7,1,48.95,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,4.020236432,0.997404941,2.005677533,4.988653287,20.12590338,10.03160962,19.94050995,37.89000485
104.03,92.72,1,38.94,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,4.020236432,0.997404941,2.005677533,4.988653287,20.12590338,10.03160962,19.94050995,37.89000485
131.07,90.82,1,38.39,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,4.020236432,0.997404941,2.005677533,4.988653287,20.12590338,10.03160962,19.94050995,37.89000485
0,0,1,35.4,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.046084488,1.444474777,1.516385837,1.837145646,33.51778539,21.60518255,35.03294131,0
153.99,96.99,1,37.5,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.393500474,1.690599877,1.619345815,1.988445637,26.72781608,34.56036554,28.01992658,0
167.15,95.37,1,36.11,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.393500474,1.690599877,1.619345815,1.988445637,26.72781608,34.56036554,28.01992658,0
0,0,1,33,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.447289808,1.615771825,1.534200811,1.945373932,0,34.12441196,55.33295166,0
0,0,1,32.35,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.447289808,1.615771825,1.534200811,1.945373932,0,34.12441196,55.33295166,0
180.78,98.67,2,47.7,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.506746804,1.581454401,1.604654585,2.020809427,21.98930511,14.21662025,46.10468082,6.9757286
204.39,97.89,2,44.82,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.506746804,1.581454401,1.604654585,2.020809427,21.98930511,14.21662025,46.10468082,6.9757286
0,0,1,44.31,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.506746804,1.581454401,1.604654585,2.020809427,21.98930511,14.21662025,46.10468082,6.9757286
26.17,96.13,2,44.26,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.506746804,1.581454401,1.604654585,2.020809427,21.98930511,14.21662025,46.10468082,6.9757286
0,0,1,39.36,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.506746804,1.581454401,1.604654585,2.020809427,21.98930511,14.21662025,46.10468082,6.9757286
314.26,98.9,2,32,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.506746804,1.581454401,1.604654585,2.020809427,21.98930511,14.21662025,46.10468082,6.9757286
